Location;Link 1;Link 1 URL;Link 2;Link 2 URL;Link 3;Link 3 URL;Link 4;Link 4 URL
Adventure Island;Website;https://adventureisland.co.uk/;ParkMap;https://adventureisland.co.uk/park-map/;CC;https://coaster-count.com/catalogue/europe/uk/adventure-island-308/coasters;rcdb;https://rcdb.com/4836.htm
Chessington World of Adventures;Website;https://www.chessington.com/;ParkMap;https://www.chessington.com/explore/theme-park-zoo/park-map/;CC;https://coaster-count.com/catalogue/europe/uk/chessington-world-of-adventures-270/coasters;rcdb;https://rcdb.com/4798.htm
Legoland Windsor;Website;https://www.legoland.co.uk/;ParkMap;https://www.legoland.co.uk/media/2gqmv0gr/llwr_2025_resort_guide_map.pdf;CC;https://coaster-count.com/catalogue/europe/uk/legoland-windsor-285/coasters;rcdb;https://rcdb.com/4813.htm
Thorpe Park;Website;https://www.thorpepark.com/;ParkMap;https://www.thorpepark.com/media/x4ybyp50/tp-2025-map.pdf;CC;https://coaster-count.com/catalogue/europe/uk/thorpe-park-286/coasters;rcdb;https://rcdb.com/4814.htm
Paultons Park;Website;https://paultonspark.co.uk/;ParkMap;https://paultonspark.co.uk/map;CC;https://coaster-count.com/catalogue/europe/uk/paultons-park-291/coasters;rcdb;https://rcdb.com/4819.htm
Drayton Manor;Website;https://www.draytonmanor.co.uk/;ParkMap;https://www.draytonmanor.co.uk/theme-park/map;CC;https://coaster-count.com/catalogue/europe/uk/drayton-manor-275/coasters;rcdb;https://rcdb.com/4803.htm
Alton Towers;Website;https://www.altontowers.com/;ParkMap;https://www.altontowers.com/media/uqlcs4do/alton-towers-resort-2025-theme-park-map.pdf;CC;https://coaster-count.com/catalogue/europe/uk/alton-towers-268/coasters;rcdb;https://rcdb.com/4796.htm
Pleasure Beach Resort Blackpool;Website;https://www.blackpoolpleasurebeach.com/;ParkMap;https://www.blackpoolpleasurebeach.com/app/uploads/2025/02/PBR-Park-Map-2025-March-Web.pdf;CC;https://coaster-count.com/catalogue/europe/uk/pleasure-beach-resort-267/coasters;rcdb;https://rcdb.com/4795.htm
Flamingo Land;Website;https://www.flamingoland.co.uk/;ParkMap;https://www.flamingoland.co.uk/map/;CC;https://coaster-count.com/catalogue/europe/uk/flamingo-land-276/coasters;rcdb;https://rcdb.com/4804.htm
Buttons Pleasure Beach Skegness;Website;https://www.pleasurebeachskegness.co.uk/;ParkMap;https://www.pleasurebeachskegness.co.uk/park-map/;CC;https://coaster-count.com/catalogue/europe/uk/botton-s-pleasure-beach-278/coasters;rcdb;https://rcdb.com/4806.htm
Fantasy Island;Website;https://www.fantasyislandresort.co.uk/;ParkMap;https://www.fantasyislandresort.co.uk/park-info/park-map/;CC;https://coaster-count.com/catalogue/europe/uk/fantasy-island-284/coasters;rcdb;https://rcdb.com/4812.htm
Bellewaerde;Website;https://www.bellewaerde.be/nl;ParkMap;;CC;https://coaster-count.com/catalogue/europe/belgium/bellewaerde-park-320/coasters;rcdb;https://rcdb.com/4848.htm
